site,v_t,lat_t,lon_t,v_s,lat_s,lon_s,log2_ratio
48.73_12.16,0.06158,48.728,12.156,0.06585,48.728,12.156,-0.09672157309905956
48.73_4.72,0.02605,48.73,4.72,0.02987,48.73,4.72,-0.19741386514492
48.73_8.26,0.1203,48.73,8.265,0.04254,48.73,8.265,1.4997447041027665
48.76_1.13,0.05668,48.76,1.13,0.03503,48.76,1.13,0.6942487701159556
48.78_19.59,0.2081,48.778647,19.590554,0.06857,48.778647,19.590554,1.6016275377568323
48.78_20.81,1.292,48.78459,20.808784,0.08102,48.78459,20.808784,3.995184174782213
48.82_3.11,0.05789,48.82,3.11,0.098,48.82,3.11,-0.7594675926610543
48.85_4.13,0.04281,48.85,4.13,0.01094,48.85,4.13,1.968335097404363
48.86_7.51,0.02795,48.86,7.51,0.03589,48.86,7.51,-0.36073364008552494
48.89_15.25,0.06262,48.89417,15.24583,0.03101,48.89417,15.24583,1.0138899825260475
48.8_6.49,0.05578,48.8,6.49,0.02824,48.8,6.49,0.9820078457571317
48.92_18.13,0.0778,48.922218,18.133508,0.02632,48.922218,18.133508,1.5636106661383127
48.94_16.18,0.03057,48.94056,16.18333,0.01641,48.94056,16.18333,0.897541313373257
48.95_-0.88,0.05358,48.95,-0.88,0.03919,48.95,-0.88,0.4512090082401695
48.96_10.44,0.09893,48.956,10.435,0.05956,48.956,10.435,0.7320643230625378
48.96_19.28,0.1539,48.964188,19.283563,0.03511,48.964188,19.283563,2.1320393303348175
48.98_0.52,0.04649,48.98,0.52,0.03976,48.98,0.52,0.22560266895667813
48.98_11.62,0.1352,48.981,11.617,0.04139,48.981,11.617,1.7077409979392557
48.98_12.62,0.1672,48.975,12.618,0.05574,48.975,12.618,1.584789939864436
49.01_22.24,0.05973,49.011375,22.237022,0.07402,49.011375,22.237022,-0.30945941385856174
49.05_9.77,0.08768,49.054,9.771,0.03096,49.054,9.771,1.5018423268161163
49.08_6.52,0.05804,49.08,6.52,0.06664,49.08,6.52,-0.19934088129880329
49.11_20.49,0.08696,49.112169,20.492722,0.03765,49.112169,20.492722,1.2077020754680183
49.12_0.27,0.03721,49.12,0.27,0.01597,49.12,0.27,1.22032607771454
49.16_13.09,0.189,49.159,13.086,0.09218,49.159,13.086,1.0358605616591485
49.27_8.03,0.1055,49.272,8.03,0.05374,49.272,8.03,0.9731747724687436
49.28_8.96,0.1032,49.283,8.964,0.07798,49.283,8.964,0.40426691091298084
49.31_21.36,0.05333,49.307212,21.36461,0.06337,49.307212,21.36461,-0.24885268751085546
49.34_15.72,0.02202,49.33528,15.72056,0.00839,49.33528,15.72056,1.392071753124546
49.46_18.77,0.09243,49.457682,18.771024,0.08912,49.457682,18.771024,0.05261195042047557
49.51_11.81,0.08462,49.509,11.811,0.02119,49.509,11.811,1.9976150979841807
49.53_1.99,0.1074,49.53,1.99,0.09281,49.53,1.99,0.21064182840578674
49.55_10.78,0.04762,49.5512,10.7791,0.04231,49.5512,10.7791,0.17056893491398378
49.61_6.61,0.1534,49.6145,6.614,0.075,49.6145,6.614,1.0323359821196905
49.63_13.1,0.04219,49.63,13.1,0.03089,49.63,13.1,0.4497612165917132
49.66_4.85,0.08191,49.66,4.85,0.03394,49.66,4.85,1.2710530294730624
49.66_7.93,0.1164,49.659,7.927,0.07957,49.659,7.927,0.5487945541387026
49.72_18.97,0.05802,49.715462,18.972843,0.03447,49.715462,18.972843,0.7512089968307281
49.75_15.75,0.1026,49.75,15.75,0.08712,49.75,15.75,0.23595487177750948
49.78_3.83,0.03139,49.78,3.83,0.02691,49.78,3.83,0.22216263794169777
49.7_1.47,0.02696,49.7,1.47,0.01848,49.7,1.47,0.5448557397658009
49.81_10.25,0.08111,49.811,10.249,0.01358,49.811,10.249,2.5783963147739306
49.81_14.6,0.01947,49.81,14.6,0.02228,49.81,14.6,-0.194496348619737
49.83_0.64,0.08095,49.83,0.64,0.04941,49.83,0.64,0.7122280247424171
49.92_4.17,0.07918,49.92,4.17,0.1005,49.92,4.17,-0.3439875289235567
49.9_16.75,0.06093,49.9,16.75,0.01993,49.9,16.75,1.612211030178251
50.02_17.91,0.04139,50.016144,17.906532,0.0138,50.016144,17.906532,1.5846139815647595
50.04_2.13,0.06529,50.04,2.13,0.02834,50.04,2.13,1.204022283206607
50.08_9.46,0.1568,50.083,9.463,0.04075,50.083,9.463,1.944053594996768
50.12_4.44,0.03656,50.116,4.4392,0.02094,50.116,4.4392,0.8040046281272613
50.12_8.37,0.1272,50.121,8.372,0.07071,50.121,8.372,0.8471125062003942
50.16_6.32,0.1079,50.1552,6.3175,0.1057,50.1552,6.3175,0.029719488105333692
50.1_13.2,0.03331,50.1,13.2,0.03646,50.1,13.2,-0.13035920736478318
50.1_16.49,0.06404,50.1,16.49,0.05232,50.1,16.49,0.2916107670181745
50.29_7.17,0.09775,50.2907,7.1721,0.07555,50.2907,7.1721,0.37166494702988534
50.32_2.72,0.09565,50.32,2.72,0.03123,50.32,2.72,1.6148323992129012
