cohort_id,element_or_analyte,medium,sample_type,grain_fraction,measurement_basis,method_family,digestion_or_extraction,unit_layer,comparability_tier,n_quantified_records,n_censored_records,n_not_normalized_records,quantified_fraction,n_quantified_samples,n_sources,source_ids,dominant_source_id,dominant_source_share,n_with_coordinates,n_with_geology_match,workflow_band_high,workflow_band_medium,workflow_band_low,bbox_west,bbox_south,bbox_east,bbox_north,sampled_at_min,sampled_at_max
cohort-7eb46176dc87,Zn,soil,soil_humus,source humus material,mild_nitric_acid_leachable_humus,icp_ms,4.5% HNO3 ultrasonic extraction for 90 minutes,mg/kg,single_lineage_ready,367,0,0,1.0,367,1,foregs-humus,foregs-humus,1.0,367,363,0,367,0,-8.75,44.18,31.22,70.16,,
cohort-1ca9e2c3adc0,Zn,soil,soil_inclusion_in_ice_wedge,,certified_acid_digest_soil_and_soil_inclusions,icp_ms,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,mg/kg,exploratory_only,11,0,0,1.0,11,1,pangaea-batagay-soil,pangaea-batagay-soil,1.0,11,11,0,11,0,134.771944,67.580278,134.771944,67.580278,,
cohort-e9791dc7df79,Zn,soil,soil_organic_litter,,icpo_method_specific_total_or_extractable_soil,icp_oes,dry ashing of milled organic sample,mg/kg,single_lineage_ready,28,0,0,1.0,28,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,28,26,28,0,0,-37.493361,-7.291667,-34.852917,-7.036667,,
cohort-4a773892c007,Zn,soil,soil_profile,,certified_acid_digest_soil_and_soil_inclusions,icp_ms,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,mg/kg,exploratory_only,19,0,0,1.0,19,1,pangaea-batagay-soil,pangaea-batagay-soil,1.0,19,19,0,19,0,134.771944,67.580278,134.771944,67.580278,,
cohort-81db9a5b025e,Zn,soil,soil_subsoil,,gfd_method_specific_total_or_extractable_soil,xrf,glass fusion disc preparation,mg/kg,single_lineage_ready,87,13,0,0.87,87,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,87,84,100,0,0,-49.067694,-12.484194,-34.932111,-3.019861,,
cohort-392150a12a25,Zn,soil,soil_subsoil,<2 mm,aqua_regia_leachable_<2mm_subsoil,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,419,0,0,1.0,419,1,foregs-subsoil,foregs-subsoil,1.0,419,410,0,419,0,-8.62,35.04,26.32,51.0,,
cohort-fdc625743909,Zn,soil,soil_subsoil,<2 mm,total_selected_<2mm_subsoil,xrf,lithium metaborate fusion,mg/kg,single_lineage_ready,419,0,0,1.0,419,1,foregs-subsoil,foregs-subsoil,1.0,419,410,0,419,0,-8.6201987961374,35.043132637,26.319878791,50.99929,,
cohort-30f0a8f48ba5,Zn,soil,soil_subsoil,mineral soil,gemas_protocol_multi_acid_digest_dry_mineral_soil,icp_ms,GEMAS protocol multi-acid digestion,mg/kg,single_lineage_ready,83,0,0,1.0,83,1,pangaea-amazonas-soil,pangaea-amazonas-soil,1.0,83,83,0,83,0,-67.1983,-9.75042,-50.97,-2.53317,2016-03-01,2017-02-27
cohort-54de21484d4a,Zn,soil,soil_surface,<20 µm fine silt-clay fraction,deflatable_soil_fraction_total_acid_digest,icp_ms,HF-HNO3 acid digestion,mg/kg,single_lineage_ready,43,0,0,1.0,43,1,pangaea-north-africa-soil,pangaea-north-africa-soil,1.0,43,43,0,43,0,-13.26,15.67,32.5,33.83,,
cohort-0dea9875ca13,Zn,soil,soil_topsoil,,gfd_method_specific_total_or_extractable_soil,xrf,glass fusion disc preparation,mg/kg,exploratory_only,16,0,0,1.0,16,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,16,13,16,0,0,-47.492083,-12.161667,-34.932111,-4.745861,,
cohort-af9d5d1da6be,Zn,soil,soil_topsoil,,icpms_method_specific_total_or_extractable_soil,icp_ms,full digestion with HF and HNO3 in Walner equipment,mg/kg,insufficient_background,7,0,0,1.0,7,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,7,7,7,0,0,-48.316917,-12.418917,-35.124,-5.838889,,
cohort-319e0420232e,Zn,soil,soil_topsoil,,icpo_method_specific_total_or_extractable_soil,icp_oes,digestion with 7N HNO3,mg/kg,single_lineage_ready,29,0,0,1.0,29,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,29,27,29,0,0,-37.493361,-7.291667,-34.852917,-7.036667,,
cohort-08fc55a00e7a,Zn,soil,soil_topsoil,,ppp_method_specific_total_or_extractable_soil,xrf,pressed powder pellet; no wet digestion,mg/kg,exploratory_only,44,41,0,0.5176,44,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,44,44,85,0,0,-48.866,-12.499917,-35.648278,-3.019861,,
cohort-cc79ab84cd60,Zn,soil,soil_topsoil,<2 mm,aqua_regia_leachable_<2mm_topsoil,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,446,0,0,1.0,444,1,foregs-topsoil,foregs-topsoil,1.0,446,435,0,446,0,-15.57,27.96,26.32,50.86,,
cohort-4ed5bbda76a7,Zn,soil,soil_topsoil,<2 mm,near-total concentration in <2 mm soil fraction,icp_oes,near-total HCl-HNO3-HClO4-HF digestion,mg/kg,single_lineage_ready,661,0,0,1.0,661,1,usgs-conus-soil,usgs-conus-soil,1.0,661,658,0,661,0,-124.132,30.4554,-85.0352,41.9863,02/16/09,10/01/08
cohort-21ad0562ba72,Zn,soil,soil_topsoil,<2 mm,total_selected_<2mm_topsoil,xrf,lithium metaborate fusion,mg/kg,single_lineage_ready,446,0,0,1.0,438,1,foregs-topsoil,foregs-topsoil,1.0,446,436,0,446,0,-15.5660882,27.96442015,26.319878791,50.8575,,
